0:0:0:0:0:0:0:1 - - [07/Apr/2017:08:55:07 +0200] "GET /SmartHomeControlBoard/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [07/Apr/2017:08:55:07 +0200] "GET /SmartHomeControlBoard/Home.jsp HTTP/1.1" 200 3779
0:0:0:0:0:0:0:1 - - [07/Apr/2017:08:55:07 +0200] "GET /SmartHomeControlBoard/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [07/Apr/2017:08:55:07 +0200] "GET /SmartHomeControlBoard/js/jquery.js HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [07/Apr/2017:08:57:46 +0200] "GET /SmartHomeControlBoard/Home.jsp HTTP/1.1" 200 4048
0:0:0:0:0:0:0:1 - - [07/Apr/2017:08:57:46 +0200] "GET /SmartHomeControlBoard/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [07/Apr/2017:08:57:46 +0200] "GET /SmartHomeControlBoard/js/jquery.js HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [07/Apr/2017:08:57:46 +0200] "GET /SmartHomeControlBoard/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [07/Apr/2017:09:00:41 +0200] "GET /SmartHomeControlBoard/20150410_102333.jpg HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [07/Apr/2017:09:00:41 +0200] "GET /SmartHomeControlBoard/js/jquery.js HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [07/Apr/2017:09:00:41 +0200] "GET /SmartHomeControlBoard/Home.jsp HTTP/1.1" 200 4024
0:0:0:0:0:0:0:1 - - [07/Apr/2017:09:00:41 +0200] "GET /SmartHomeControlBoard/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [07/Apr/2017:09:00:41 +0200] "GET /SmartHomeControlBoard/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [07/Apr/2017:09:00:41 +0200] "GET /SmartHomeControlBoard/js/jquery.js HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [07/Apr/2017:09:03:14 +0200] "GET /SmartHomeControlBoard/Home.jsp HTTP/1.1" 200 4057
0:0:0:0:0:0:0:1 - - [07/Apr/2017:09:03:14 +0200] "GET /SmartHomeControlBoard/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [07/Apr/2017:09:03:14 +0200] "GET /SmartHomeControlBoard/js/jquery.js HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [07/Apr/2017:09:03:14 +0200] "GET /SmartHomeControlBoard/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [07/Apr/2017:09:10:18 +0200] "GET /SmartHomeControlBoard/Home.jsp HTTP/1.1" 200 5844
0:0:0:0:0:0:0:1 - - [07/Apr/2017:09:11:25 +0200] "GET /SmartHomeControlBoard/Home.jsp HTTP/1.1" 200 5727
0:0:0:0:0:0:0:1 - - [07/Apr/2017:09:12:52 +0200] "GET /SmartHomeControlBoard/Home.jsp HTTP/1.1" 200 7105
0:0:0:0:0:0:0:1 - - [07/Apr/2017:09:14:43 +0200] "GET /SmartHomeControlBoard/Home.jsp HTTP/1.1" 200 7148
0:0:0:0:0:0:0:1 - - [07/Apr/2017:09:15:52 +0200] "GET /SmartHomeControlBoard/Home.jsp HTTP/1.1" 200 7146
0:0:0:0:0:0:0:1 - - [07/Apr/2017:09:17:28 +0200] "GET /SmartHomeControlBoard/Home.jsp HTTP/1.1" 200 7148
0:0:0:0:0:0:0:1 - - [07/Apr/2017:09:18:00 +0200] "GET /SmartHomeControlBoard/Home.jsp HTTP/1.1" 200 7150
0:0:0:0:0:0:0:1 - - [07/Apr/2017:09:18:14 +0200] "GET /SmartHomeControlBoard/Home.jsp HTTP/1.1" 200 7149
0:0:0:0:0:0:0:1 - - [07/Apr/2017:09:18:27 +0200] "GET /SmartHomeControlBoard/Home.jsp HTTP/1.1" 200 7149
0:0:0:0:0:0:0:1 - - [07/Apr/2017:09:19:15 +0200] "GET /SmartHomeControlBoard/Home.jsp HTTP/1.1" 200 7149
0:0:0:0:0:0:0:1 - - [07/Apr/2017:09:19:43 +0200] "GET /SmartHomeControlBoard/Home.jsp HTTP/1.1" 200 7150
0:0:0:0:0:0:0:1 - - [07/Apr/2017:09:20:39 +0200] "GET /SmartHomeControlBoard/Home.jsp HTTP/1.1" 200 7149
0:0:0:0:0:0:0:1 - - [07/Apr/2017:09:23:48 +0200] "GET /SmartHomeControlBoard/Home.jsp HTTP/1.1" 200 7119
0:0:0:0:0:0:0:1 - - [07/Apr/2017:09:29:59 +0200] "GET /SmartHomeControlBoard/Home.jsp HTTP/1.1" 200 7107
0:0:0:0:0:0:0:1 - - [07/Apr/2017:09:31:38 +0200] "GET /SmartHomeControlBoard/Home.jsp HTTP/1.1" 200 7122
0:0:0:0:0:0:0:1 - - [07/Apr/2017:09:35:37 +0200] "GET /SmartHomeControlBoard/Home.jsp HTTP/1.1" 200 7119
0:0:0:0:0:0:0:1 - - [07/Apr/2017:09:38:44 +0200] "GET /SmartHomeControlBoard/Home.jsp HTTP/1.1" 200 7119
